# t_ms,yaw_deg,pitch_deg,roll_deg,range_mm,ok
0,0.00,0.00,0.31,1496,1
20,0.41,0.68,-0.19,1497,1
40,0.82,1.37,-0.13,1489,1
60,1.23,2.05,0.25,1514,1
80,1.64,2.73,0.15,1514,1
100,2.05,3.41,0.11,1508,1
120,2.45,4.08,0.51,1485,1
140,2.86,4.76,0.30,1513,1
160,3.27,5.43,-1.05,1488,1
180,3.68,6.10,-0.28,1500,1
200,4.09,6.76,-0.03,1518,1
220,4.50,7.42,-0.39,1523,1
240,4.91,8.08,0.24,1524,1
260,5.32,8.73,1.03,1516,1
280,5.72,9.38,0.72,1534,1
300,6.13,10.02,-0.44,1524,1
320,6.54,10.65,-0.06,1532,1
340,6.95,11.28,0.15,1548,1
360,7.36,11.90,-0.57,1540,1
380,7.76,12.52,0.73,1544,1
400,8.17,13.12,0.15,1546,1
420,8.58,13.72,-0.89,1566,1
440,8.99,14.31,0.78,1567,1
460,9.39,14.90,-0.19,1549,1
480,9.80,15.47,-0.49,1578,1
500,10.21,16.03,-0.04,1591,1
520,10.61,16.59,0.50,1574,1
540,11.02,17.13,0.57,1607,1
560,11.42,17.67,0.22,1623,1
580,11.83,18.19,-0.78,1614,1
600,12.23,18.71,-0.37,1627,1
620,12.64,19.21,-0.76,1622,1
640,13.04,19.70,-0.32,1623,1
660,13.45,20.18,-1.22,1658,1
680,13.85,20.65,0.14,1633,1
700,14.26,21.10,0.35,1676,1
720,14.66,21.55,-1.51,1644,1
740,15.07,21.98,-0.44,1679,1
760,15.47,22.39,0.59,1669,1
780,15.87,22.80,0.09,1704,1
800,16.27,23.19,0.26,1702,1
820,16.68,23.56,0.37,1727,1
840,17.08,23.92,0.33,1722,1
860,17.48,24.27,0.77,1706,1
880,17.88,24.60,0.32,1744,1
900,18.28,24.92,-0.38,1718,1
920,18.68,25.23,-1.09,1760,1
940,19.08,25.52,0.61,1756,1
960,19.48,25.79,0.97,1751,1
980,19.88,26.05,-0.09,1782,1
1000,20.28,26.29,0.39,1787,1
1020,20.68,26.52,0.69,1793,1
1040,21.08,26.73,-0.25,1791,1
1060,21.47,26.92,0.02,1820,1
1080,21.87,27.10,0.57,1805,1
1100,22.27,27.27,-0.27,1841,1
1120,22.66,27.41,-0.08,1814,1
1140,23.06,27.54,-0.18,1836,1
1160,23.45,27.66,-0.62,1862,1
1180,23.85,27.76,-0.76,1868,1
1200,24.24,27.84,0.38,1850,1
